Time,plume,cbpoint,chplume,chole,qsun
2018-10-29 17:45:09.350,749463.0,1111568.0,452353.0,500887.0,998966.0
2018-10-29 17:46:09.350,750487.0,1105328.0,453249.0,503616.0,998897.0
2018-10-29 17:47:09.350,748677.0,1107095.0,456309.0,503890.0,995610.0
2018-10-29 17:48:09.350,749387.0,1103480.0,457409.0,501624.0,995083.0
2018-10-29 17:49:09.350,746905.0,1101422.0,458002.0,503064.0,990255.0
2018-10-29 17:50:09.350,749505.0,1099078.0,459593.0,502421.0,983443.0
2018-10-29 17:51:09.350,749378.0,1104682.0,460893.0,501122.0,980165.0
2018-10-29 17:52:09.350,751918.0,1105245.0,461826.0,500525.0,978515.0
2018-10-29 17:53:09.350,751728.0,1104706.0,459999.0,499710.0,975829.0
2018-10-29 17:54:09.350,753867.0,1104631.0,458651.0,501317.0,972968.0
2018-10-29 17:55:09.350,755142.0,1102721.0,454696.0,501295.0,973539.0
2018-10-29 17:56:09.350,754762.0,1101028.0,454919.0,500338.0,969918.0
2018-10-29 17:57:09.350,751809.0,1096136.0,452365.0,500475.0,972635.0
2018-10-29 17:58:09.350,752638.0,1096609.0,452115.0,499794.0,970348.0
2018-10-29 17:59:09.340,757001.0,1101754.0,449746.0,497005.0,967084.0
2018-10-29 18:00:09.350,760307.0,1105939.0,449425.0,498659.0,967334.0
2018-10-29 18:01:09.350,756998.0,1112311.0,447174.0,498640.0,963470.0
2018-10-29 18:02:09.350,755250.0,1117405.0,448943.0,495591.0,965225.0
2018-10-29 18:03:09.340,756100.0,1121982.0,449262.0,495796.0,964911.0
2018-10-29 18:04:09.350,758953.0,1128432.0,447171.0,490739.0,961604.0
2018-10-29 18:05:09.340,756648.0,1127363.0,445842.0,489912.0,963962.0
2018-10-29 18:06:09.340,753914.0,1124171.0,445995.0,489162.0,964190.0
2018-10-29 18:07:09.340,751384.0,1130410.0,449907.0,487008.0,962458.0
2018-10-29 18:08:09.350,750857.0,1128629.0,450407.0,486825.0,963918.0
2018-10-29 18:09:09.340,751027.0,1128790.0,450644.0,486129.0,970071.0
2018-10-29 18:10:09.350,750859.0,1133225.0,449794.0,486789.0,968937.0
2018-10-29 18:11:09.340,749863.0,1134872.0,450443.0,487243.0,969674.0
2018-10-29 18:12:09.350,753774.0,1125861.0,452852.0,487499.0,970239.0
2018-10-29 18:13:09.340,756076.0,1125774.0,454785.0,488686.0,975926.0
2018-10-29 18:14:09.350,756165.0,1126924.0,455474.0,490614.0,978386.0
2018-10-29 18:15:09.340,753399.0,1132746.0,456404.0,490217.0,977938.0
2018-10-29 18:16:09.350,752814.0,1129643.0,457158.0,489778.0,979625.0
2018-10-29 18:17:09.340,755486.0,1125867.0,457873.0,489790.0,979615.0
2018-10-29 18:18:09.350,756233.0,1127114.0,457073.0,490497.0,977087.0
2018-10-29 18:19:09.340,757022.0,1125658.0,456428.0,489239.0,973746.0
2018-10-29 18:20:09.350,758508.0,1130455.0,454618.0,488919.0,971753.0
2018-10-29 18:21:09.350,758115.0,1126365.0,455358.0,489644.0,968135.0
2018-10-29 18:22:09.350,753128.0,1116726.0,457119.0,488135.0,968432.0
2018-10-29 18:23:09.340,752558.0,1109804.0,458276.0,489323.0,969339.0
2018-10-29 18:24:09.350,751720.0,1107464.0,457168.0,490063.0,964113.0
2018-10-29 18:25:09.340,755437.0,1107233.0,453916.0,490671.0,963594.0
2018-10-29 18:26:09.340,754772.0,1105000.0,451476.0,491079.0,963709.0
2018-10-29 18:27:09.340,754717.0,1108645.0,448112.0,490785.0,963094.0
