Time,ch_open_flux,ch_bpoint_flux
2018-10-28 06:36:00,-1.3231499e+19,9.103132e+19
2018-10-28 06:48:00,-1.2993646e+19,6.854554e+19
2018-10-28 07:00:00,-1.2098131e+19,9.2454045e+19
2018-10-28 07:12:00,-1.3024228e+19,1.01097095e+20
2018-10-28 07:24:00,-1.2298691e+19,1.056699e+20
2018-10-28 07:36:00,-1.2969495e+19,1.0623185e+20
2018-10-28 07:48:00,-1.3102999e+19,1.0502152e+20
2018-10-28 08:00:00,-1.2672513e+19,7.681288e+19
2018-10-28 08:12:00,-1.2081029e+19,8.301422e+19
2018-10-28 08:24:00,-1.2881515e+19,9.138662e+19
2018-10-28 08:36:00,-1.3130252e+19,1.0253844e+20
2018-10-28 08:48:00,-1.2419861e+19,8.634701e+19
2018-10-28 09:00:00,-1.2417658e+19,9.6700895e+19
2018-10-28 09:12:00,-1.2214065e+19,9.619427e+19
2018-10-28 09:24:00,-1.3197095e+19,1.0861451e+20
2018-10-28 09:36:00,-1.2966479e+19,1.0089369e+20
2018-10-28 09:48:00,-1.2365918e+19,8.631024e+19
2018-10-28 10:00:00,-1.2375368e+19,8.078343e+19
2018-10-28 10:12:00,-1.1275201e+19,7.46899e+19
2018-10-28 10:24:00,-1.2011528e+19,8.29026e+19
2018-10-28 10:36:00,-1.2077458e+19,6.851868e+19
2018-10-28 10:48:00,-1.2066269e+19,6.332442e+19
2018-10-28 11:00:00,-1.0988774e+19,6.4464116e+19
2018-10-28 11:12:00,-9.833093e+18,5.8152563e+19
2018-10-28 11:24:00,-1.0207722e+19,4.813215e+19
2018-10-28 11:36:00,-9.965199e+18,6.704577e+19
2018-10-28 11:48:00,-1.1119395e+19,6.508643e+19
2018-10-28 12:00:00,-1.1832754e+19,7.1053696e+19
2018-10-28 12:12:00,-1.0592547e+19,5.767875e+19
2018-10-28 12:24:00,-1.087267e+19,6.888791e+19
2018-10-28 12:36:00,-1.1689835e+19,6.8962785e+19
2018-10-28 12:48:00,-1.1333532e+19,7.0605588e+19
2018-10-28 13:00:00,-1.1111124e+19,7.468175e+19
2018-10-28 13:12:00,-1.2157278e+19,6.058427e+19
2018-10-28 13:24:00,-1.2156157e+19,5.366735e+19
2018-10-28 13:36:00,-1.1589218e+19,6.247544e+19
2018-10-28 13:48:00,-1.1832839e+19,5.9465855e+19
2018-10-28 14:00:00,-1.1772837e+19,7.736902e+19
2018-10-28 14:12:00,-1.2160348e+19,8.226987e+19
2018-10-28 14:24:00,-1.2202695e+19,8.800343e+19
2018-10-28 14:36:00,-1.2220484e+19,9.236431e+19
2018-10-28 14:48:00,-1.1603093e+19,6.8995335e+19
2018-10-28 15:00:00,-1.0882648e+19,6.3520106e+19
2018-10-28 15:12:00,-1.1321732e+19,6.0192786e+19
2018-10-28 15:24:00,-1.18205e+19,5.00043e+19
2018-10-28 15:36:00,-1.1708695e+19,5.103992e+19
2018-10-28 15:48:00,-1.1619216e+19,6.3169186e+19
2018-10-28 16:00:00,-1.038893e+19,5.721672e+19
2018-10-28 16:12:00,-1.1284608e+19,8.022892e+19
2018-10-28 16:24:00,-1.1847513e+19,7.062477e+19
2018-10-28 16:36:00,-1.1633507e+19,6.690555e+19
2018-10-28 16:48:00,-1.1409741e+19,7.42569e+19
2018-10-28 17:00:00,-1.1585156e+19,6.4716977e+19
2018-10-28 17:12:00,-1.2884917e+19,5.785189e+19
2018-10-28 17:24:00,-1.1781556e+19,7.8604755e+19
2018-10-28 17:36:00,-1.2555498e+19,6.6133263e+19
2018-10-28 17:48:00,-1.2239389e+19,6.82752e+19
2018-10-28 18:00:00,-1.2979462e+19,5.4538675e+19
2018-10-28 18:12:00,-1.2949017e+19,7.487818e+19
2018-10-28 18:24:00,-1.1669756e+19,6.885237e+19
2018-10-28 18:36:00,-1.2268722e+19,5.8494713e+19
2018-10-28 18:48:00,-1.1505235e+19,6.0984074e+19
2018-10-28 19:00:00,-1.1200429e+19,5.6675026e+19
2018-10-28 19:12:00,-1.1416393e+19,7.2571506e+19
2018-10-28 19:24:00,-1.1648503e+19,6.3220876e+19
2018-10-28 19:36:00,-1.0818538e+19,7.641124e+19
2018-10-28 19:48:00,-1.0796394e+19,6.9467818e+19
2018-10-28 20:00:00,-1.0501798e+19,8.203016e+19
2018-10-28 20:12:00,-9.354766e+18,7.540545e+19
2018-10-28 20:24:00,-1.0869881e+19,6.9261725e+19
2018-10-28 20:36:00,-1.0458129e+19,8.005024e+19
2018-10-28 20:48:00,-1.0046377e+19,3.8706183e+19
2018-10-28 21:00:00,-1.0220108e+19,4.752832e+19
2018-10-28 21:12:00,-1.077313e+19,6.121111e+19
2018-10-28 21:24:00,-1.0028535e+19,6.942725e+19
2018-10-28 21:36:00,-1.005145e+19,5.6276625e+19
2018-10-28 21:48:00,-1.0233772e+19,5.3097528e+19
2018-10-28 22:00:00,-9.2134836e+18,6.2116087e+19
2018-10-28 22:12:00,-9.440784e+18,4.9277274e+19
2018-10-28 22:24:00,-8.817446e+18,3.4502488e+19
2018-10-28 22:36:00,-8.8507355e+18,3.639682e+19
2018-10-28 22:48:00,-8.8802117e+18,4.2306494e+19
2018-10-28 23:00:00,-9.088162e+18,3.7468067e+19
2018-10-28 23:12:00,-9.383152e+18,3.709689e+19
2018-10-28 23:24:00,-1.0108855e+19,4.1890914e+19
2018-10-28 23:36:00,-9.322379e+18,2.9834623e+19
2018-10-28 23:48:00,-8.92377e+18,3.6734793e+19
2018-10-29 00:00:00,-9.166013e+18,2.24392e+19
2018-10-29 00:12:00,-9.1954126e+18,2.258541e+19
2018-10-29 00:24:00,-9.273632e+18,2.7271708e+19
2018-10-29 00:36:00,-9.23297e+18,2.7639814e+19
2018-10-29 00:48:00,-9.452717e+18,1.897563e+19
2018-10-29 01:00:00,-9.18945e+18,1.7353227e+19
2018-10-29 01:12:00,-8.805881e+18,3.214929e+19
2018-10-29 01:24:00,-9.247848e+18,1.9854526e+19
2018-10-29 01:36:00,-8.710695e+18,2.0805784e+19
2018-10-29 01:48:00,-8.289098e+18,2.0915493e+19
2018-10-29 02:00:00,-7.8014127e+18,3.3677397e+19
2018-10-29 02:12:00,-7.676137e+18,2.0978282e+19
2018-10-29 02:24:00,-7.789055e+18,2.4950096e+19
2018-10-29 02:36:00,-8.5268534e+18,2.780307e+19
2018-10-29 02:48:00,-7.94347e+18,1.9950087e+19
2018-10-29 03:00:00,-7.0771116e+18,2.27523e+19
2018-10-29 03:12:00,-7.33702e+18,2.6546162e+19
2018-10-29 03:24:00,-8.2604483e+18,1.4705901e+19
2018-10-29 03:36:00,-7.786154e+18,6.8968384e+18
2018-10-29 03:48:00,-7.7133935e+18,1.3132645e+19
2018-10-29 04:00:00,-7.3196666e+18,1.5979795e+19
2018-10-29 04:12:00,-6.923436e+18,2.406951e+19
2018-10-29 04:24:00,-6.293417e+18,3.4598337e+19
2018-10-29 04:36:00,-6.7702126e+18,3.2496695e+19
2018-10-29 04:48:00,-6.219891e+18,3.1546521e+19
2018-10-29 05:00:00,-6.23311e+18,4.008976e+19
2018-10-29 05:12:00,-7.296935e+18,3.378961e+19
2018-10-29 05:24:00,-7.0101365e+18,3.824876e+19
2018-10-29 05:36:00,-6.130839e+18,4.003872e+19
2018-10-29 05:48:00,-6.216035e+18,2.8954179e+19
2018-10-29 06:00:00,-6.935769e+18,2.7432758e+19
2018-10-29 06:12:00,-5.939977e+18,3.249889e+19
2018-10-29 06:24:00,-5.6771447e+18,2.1878977e+19
2018-10-29 06:36:00,-5.8766544e+18,2.386447e+19
2018-10-29 06:48:00,-5.699297e+18,3.0176103e+19
2018-10-29 07:00:00,-5.034402e+18,2.184574e+19
2018-10-29 07:12:00,-5.8191026e+18,2.3551053e+19
2018-10-29 07:24:00,-5.0787195e+18,6.951483e+18
2018-10-29 07:36:00,-4.912618e+18,5.1704655e+18
2018-10-29 07:48:00,-4.8657716e+18,2.4085863e+18
2018-10-29 08:00:00,-4.5831388e+18,6.713455e+18
2018-10-29 08:12:00,-4.3348315e+18,1.3823367e+19
2018-10-29 08:24:00,-5.87235e+18,7.7913813e+18
2018-10-29 08:36:00,-6.206744e+18,1.5868655e+19
2018-10-29 08:48:00,-5.9371094e+18,1.0948819e+19
2018-10-29 09:00:00,-5.51243e+18,2.216707e+19
2018-10-29 09:12:00,-5.3090194e+18,2.075451e+19
2018-10-29 09:24:00,-5.2171376e+18,6.8924717e+18
2018-10-29 09:36:00,-5.596442e+18,8.5452493e+18
2018-10-29 09:48:00,-5.206625e+18,6.997727e+18
2018-10-29 10:00:00,-4.74777e+18,1.8585776e+18
2018-10-29 10:12:00,-5.530771e+18,1.3938024e+19
2018-10-29 10:24:00,-4.7576165e+18,7.825048e+18
2018-10-29 10:36:00,-5.41243e+18,1.2627776e+19
2018-10-29 10:48:00,-4.8964304e+18,1.680302e+19
2018-10-29 11:00:00,-4.6007907e+18,1.5231949e+19
2018-10-29 11:12:00,-5.538897e+18,1.359059e+19
2018-10-29 11:24:00,-5.025065e+18,2.5997537e+19
2018-10-29 11:36:00,-4.801974e+18,3.7393207e+19
2018-10-29 11:48:00,-4.5339703e+18,2.4998857e+19
2018-10-29 12:00:00,-4.4440462e+18,1.8925529e+19
2018-10-29 12:12:00,-4.7808965e+18,1.7945115e+19
2018-10-29 12:24:00,-4.5303257e+18,2.8743202e+19
2018-10-29 12:36:00,-3.9609882e+18,3.2707434e+19
2018-10-29 12:48:00,-4.28907e+18,2.9712716e+19
2018-10-29 13:00:00,-4.5751088e+18,2.4819491e+19
2018-10-29 13:12:00,-4.67978e+18,2.2787524e+19
2018-10-29 13:24:00,-5.0032106e+18,2.759681e+19
2018-10-29 13:36:00,-4.298545e+18,2.2802257e+19
2018-10-29 13:48:00,-6.0222495e+18,4.0793267e+19
2018-10-29 14:00:00,-4.993983e+18,2.5446926e+19
2018-10-29 14:12:00,-4.011917e+18,3.1530638e+19
2018-10-29 14:24:00,-4.8556627e+18,2.900504e+19
2018-10-29 14:36:00,-5.476162e+18,5.401029e+19
2018-10-29 14:48:00,-5.07425e+18,5.3885416e+19
2018-10-29 15:00:00,-5.7597273e+18,6.2903474e+19
2018-10-29 15:12:00,-5.6381664e+18,6.2894097e+19
2018-10-29 15:24:00,-6.5493933e+18,5.3564587e+19
2018-10-29 15:36:00,-5.7697824e+18,6.5682555e+19
2018-10-29 15:48:00,-5.933292e+18,6.4327772e+19
2018-10-29 16:00:00,-6.160663e+18,9.175952e+19
2018-10-29 16:12:00,-5.4390856e+18,6.219212e+19
2018-10-29 16:24:00,-4.885917e+18,5.4990407e+19
2018-10-29 16:36:00,-6.674686e+18,5.6874456e+19
2018-10-29 16:48:00,-6.378008e+18,4.868304e+19
2018-10-29 17:00:00,-7.304969e+18,6.1201113e+19
2018-10-29 17:12:00,-7.0460845e+18,4.5370644e+19
2018-10-29 17:24:00,-9.247938e+18,6.305883e+19
2018-10-29 17:36:00,-8.4745606e+18,5.8936497e+19
2018-10-29 17:48:00,-8.6430784e+18,5.7826927e+19
2018-10-29 18:00:00,-9.464628e+18,5.298294e+19
2018-10-29 18:12:00,-9.23679e+18,6.3349466e+19
2018-10-29 18:24:00,-1.1458193e+19,8.322003e+19
2018-10-29 18:36:00,-1.1427606e+19,8.671724e+19
2018-10-29 18:48:00,-1.1013565e+19,7.268064e+19
2018-10-29 19:00:00,-1.2134715e+19,7.589965e+19
2018-10-29 19:12:00,-1.2945409e+19,5.4841656e+19
2018-10-29 19:24:00,-1.3094846e+19,5.905687e+19
2018-10-29 19:36:00,-1.2709742e+19,6.3996045e+19
2018-10-29 19:48:00,-1.1995634e+19,7.014682e+19
2018-10-29 20:00:00,-1.0922027e+19,5.910374e+19
2018-10-29 20:12:00,-1.2397028e+19,5.4724167e+19
2018-10-29 20:24:00,-1.1300765e+19,5.8521335e+19
2018-10-29 20:36:00,-1.2004133e+19,7.354431e+19
2018-10-29 20:48:00,-1.2833234e+19,8.0481e+19
2018-10-29 21:00:00,-1.1933441e+19,6.45888e+19
2018-10-29 21:12:00,-1.125469e+19,8.880803e+19
2018-10-29 21:24:00,-1.1141794e+19,1.03205e+20
2018-10-29 21:36:00,-1.1085567e+19,1.0071342e+20
2018-10-29 21:48:00,-1.0886135e+19,6.170507e+19
2018-10-29 22:00:00,-1.2100121e+19,9.202079e+19
2018-10-29 22:12:00,-1.1880988e+19,6.1296634e+19
2018-10-29 22:24:00,-1.1458866e+19,6.6859626e+19
