Time,Br,Vr,Np,T,Mass Flux
2018-10-31 10:20:00,-26.136383,366.33743,141.67506,73.25789,53246.203
2018-10-31 10:21:00,-30.306957,360.52963,148.35817,71.10498,55137.605
2018-10-31 10:22:00,-28.68706,362.0239,147.723,72.08919,55377.242
2018-10-31 10:23:00,-29.233767,362.28497,147.108,72.44316,55337.953
2018-10-31 10:24:00,-27.586567,362.4754,143.99976,71.40789,53878.086
2018-10-31 10:25:00,-23.916197,364.25406,141.2655,71.74583,52949.44
2018-10-31 10:26:00,-27.316813,358.5542,141.77347,68.816154,52451.4
2018-10-31 10:27:00,-22.846119,367.648,134.16188,71.428085,50240.68
2018-10-31 10:28:00,-26.525532,364.61893,135.6463,69.27729,50396.69
2018-10-31 10:29:00,-29.768156,361.1262,137.59422,67.73094,50848.38
2018-10-31 10:30:00,-27.345957,360.9796,142.07352,67.71585,52402.105
2018-10-31 10:31:00,-24.441051,363.44376,136.36382,67.98265,50582.29
2018-10-31 10:32:00,-16.048353,367.45715,136.04228,69.40259,50915.555
2018-10-31 10:33:00,-20.53101,362.64908,137.54509,68.56497,50777.668
2018-10-31 10:34:00,-15.243101,372.35007,129.06717,70.0078,48640.63
2018-10-31 10:35:00,-14.126302,374.74292,129.68993,70.41379,49271.38
2018-10-31 10:36:00,-18.849886,366.46848,133.53128,69.20195,49822.863
2018-10-31 10:37:00,-23.319624,361.48447,133.48894,67.879074,49089.996
2018-10-31 10:38:00,-29.152985,354.4548,134.99359,65.31111,48672.79
2018-10-31 10:39:00,-22.800621,364.11435,134.13715,68.35698,49509.09
2018-10-31 10:40:00,-16.808912,372.23007,131.28433,69.80476,49393.816
2018-10-31 10:41:00,-13.317764,376.22772,129.1834,70.077805,49163.668
2018-10-31 10:42:00,-24.850569,361.05673,145.81381,66.208496,54622.01
2018-10-31 10:43:00,-25.054958,364.38983,132.69542,67.03513,49198.867
2018-10-31 10:44:00,-22.848948,365.71616,137.82364,66.49488,51096.32
2018-10-31 10:45:00,-20.212236,370.92746,136.87666,67.48725,51231.992
2018-10-31 10:46:00,-23.953112,364.6971,136.74318,65.80116,50413.996
2018-10-31 10:47:00,-22.591703,365.05057,138.59113,66.652466,51182.5
